Section,Column A,Column B,Column C,Column D,Column E,Column F
META,Document,Minecore specification (Kasparex codebase),,,,
META,Generated (UTC),2026-04-26,,,,
META,Source paths,src/lib/game/minecore/*; hooks/useMinecore.ts; src/lib/games/registry.ts,,,,
,,,,,,
Overview,Field,Value,Notes,,,
Overview,Name / slug,Minecore / minecore,,,,
Overview,Route,/games/minecore,,,,
Overview,Registry version,0.1.0 (beta),,,,
Overview,Persistence key,minecore-state:{kaspaAddress|guest},localStorage,,,
Overview,State version (initial),1,,,,
Overview,Mining reconnect grace,24 hours,RECONNECT_GRACE_MS,,,
Overview,Refine rate,1 diamond → 1 refinement point,MINECORE_REFINE_RATE,,,
Overview,GRID redeemable field,Placeholder,gridRedeemableTotal not updated by apply-event,,,
Overview,Default plant slots,4,MINECORE_DEFAULT_PLANT_SLOTS,,,
Overview,Slot unlock cost,1 KAS,minecore:slot:unlock,,,
Overview,Slot expand cost,50 KAS,minecore:slot:expand,,,
Overview,Plant recharge,1.5 KAS per reserve unit,MINECORE_PLANT_RECHARGE_COST_KAS,,,
Overview,Repair chance on extract,2%,Math.random() < 0.02,,,
Overview,Expected diamonds formula,floor(baseOutput × worker × boost × batteryEff × (1 + Σ moduleBonus)),computePlantExpectedDiamonds,,,
,,,,,,
Currencies,Resource,Role,,,,
Currencies,Ingredients,8 types in IngredientBag (craft / power install),,,,
Currencies,Owned items,Counts: machines batteries workers modules,,,,
Currencies,Diamonds,Balance + accumulated + live cycle diamonds,,,,
Currencies,Refinement points,From Refine (1:1 in v1),,,,
Currencies,Shop,KAS (KREX tier discount) KREX GRID on some rows,,,,
,,,,,,
PlantPresets,Type,Label,costKas,Description,,
PlantPresets,standard,Standard Plant,0,Basic mining operations.,,
PlantPresets,premium,Premium Plant,50,Upgraded infrastructure.,,
PlantPresets,advanced,Advanced Complex,250,Industrial-scale mining.,,
,,,,,,
Machines,id,label,durationMs,durationHuman,baseOutput,powerConsumptionFactor
Machines,pulse-drill,Pulse Drill,600000,10 min,50,1
Machines,crystal-extractor,Crystal Extractor,1800000,30 min,180,1.5
Machines,deep-vein-rig,Deep Vein Rig,3600000,60 min,420,2.5
Machines,quantum-fracturer,Quantum Fracturer,21600000,6 h,3200,6
Machines,NOTE,CSV snapshot may drift  -  see MINECORE_MACHINES for miningSpeedMultiplier + live powerConsumptionFactor,,,,
Machines,NOTE,Battery drain is 1:1 nominal stored-charge ms (rigs do not shorten runtime),,,,
,,,,,,
Batteries,id,label,efficiency,powerCapacity,chargeCapacityMs,chargeHuman
Batteries,energy-cell,Energy Cell,1,1,1800000,30 min
Batteries,battery-pack,Battery Pack,1.15,2,3600000,60 min
Batteries,diamond-capacitor,Diamond Capacitor,1.3,3,7200000,120 min
Batteries,grid-battery,Grid Battery,1.5,4,21600000,360 min
Batteries,NOTE,Only energy-cell is craftable in MINECORE_RECIPES,,,,
,,,,,,
PowerSources,id,label,kind,maxPowerUnits,drainRateMult,energyBudgetMult / installRequires
PowerSources,vein-thermal,Deep Vein Thermal,thermal,4,1.05,1.0 | crystalDust 40 energyCells 2 circuitMesh 2
PowerSources,fission-bdag,Packed DAG Fission,fission,6,0.92,1.08 | coreShards 2 alloyPlates 12 nullFragments 1 energyCells 3
PowerSources,krex-catalyst,Krex Catalytic Stack,catalytic,5,0.88,1.12 | coolingGel 8 ariaChips 3 circuitMesh 4
PowerSources,aria-photon,ARIA Photonic Array,renewable,5,0.85,1.15 | circuitMesh 6 energyCells 2 crystalDust 30
